musicien,musicienLabel,image,sexe_ou_genre,sexe_ou_genreLabel,date_de_naissance
http://www.wikidata.org/entity/Q37355,John Michael Talbot,http://commons.wikimedia.org/wiki/Special:FilePath/John%20Michael%20Talbot.jpg,http://www.wikidata.org/entity/Q6581097,masculin,1954-05-08T00:00:00Z
http://www.wikidata.org/entity/Q38150,David McWane,http://commons.wikimedia.org/wiki/Special:FilePath/Davidmcwane.JPG,http://www.wikidata.org/entity/Q6581097,masculin,1976-11-18T00:00:00Z
http://www.wikidata.org/entity/Q38242,Marc Orrell,http://commons.wikimedia.org/wiki/Special:FilePath/Marcorrelldkm.jpg,http://www.wikidata.org/entity/Q6581097,masculin,1982-11-07T00:00:00Z
http://www.wikidata.org/entity/Q39224,Hoodie Allen,http://commons.wikimedia.org/wiki/Special:FilePath/Hoodie%20Allen%202013.png,http://www.wikidata.org/entity/Q6581097,masculin,1988-08-19T00:00:00Z
http://www.wikidata.org/entity/Q39413,John Lawry,,http://www.wikidata.org/entity/Q6581097,masculin,1950-06-15T00:00:00Z
http://www.wikidata.org/entity/Q39672,Matt Sorum,http://commons.wikimedia.org/wiki/Special:FilePath/Matt%20Sorum%20%28457434291%29.jpg,http://www.wikidata.org/entity/Q6581097,masculin,1960-11-19T00:00:00Z
http://www.wikidata.org/entity/Q39829,Stephen King,http://commons.wikimedia.org/wiki/Special:FilePath/Stephen%20King%2C%20Comicon.jpg,http://www.wikidata.org/entity/Q6581097,masculin,1947-09-21T00:00:00Z
http://www.wikidata.org/entity/Q39986,Janina Gavankar,http://commons.wikimedia.org/wiki/Special:FilePath/Janina%20Gavankar%2C%20Star%20Wars%20The%20Last%20Jedi%20premiere%2C%20Dec%202017%20%28cropped%29.jpg,http://www.wikidata.org/entity/Q6581072,féminin,1980-11-29T00:00:00Z
http://www.wikidata.org/entity/Q40422,Keak da Sneak,,http://www.wikidata.org/entity/Q6581097,masculin,1977-05-09T00:00:00Z
http://www.wikidata.org/entity/Q40580,Lisa Gerrard,http://commons.wikimedia.org/wiki/Special:FilePath/LisaGerrard-Press-Image-2009.jpg,http://www.wikidata.org/entity/Q6581072,féminin,1961-04-12T00:00:00Z
http://www.wikidata.org/entity/Q40580,Lisa Gerrard,http://commons.wikimedia.org/wiki/Special:FilePath/Lisa%20Gerard%202012.jpg,http://www.wikidata.org/entity/Q6581072,féminin,1961-04-12T00:00:00Z
http://www.wikidata.org/entity/Q41074,Ram Narayan,http://commons.wikimedia.org/wiki/Special:FilePath/Ram%20Narayan%202009%20crop.jpg,http://www.wikidata.org/entity/Q6581097,masculin,1927-12-25T00:00:00Z
http://www.wikidata.org/entity/Q41074,Ram Narayan,http://commons.wikimedia.org/wiki/Special:FilePath/Ram%20Narayan%20May%202007.jpg,http://www.wikidata.org/entity/Q6581097,masculin,1927-12-25T00:00:00Z
http://www.wikidata.org/entity/Q41281,Martik Qaraxanyan,,http://www.wikidata.org/entity/Q6581097,masculin,1949-07-17T00:00:00Z
http://www.wikidata.org/entity/Q41309,Franz Liszt,http://commons.wikimedia.org/wiki/Special:FilePath/Liszt%201858.jpg,http://www.wikidata.org/entity/Q6581097,masculin,1811-10-22T00:00:00Z
http://www.wikidata.org/entity/Q41408,Federico García Lorca,http://commons.wikimedia.org/wiki/Special:FilePath/Federico%20Garc%C3%ADa%20Lorca.%20Huerta%20de%20San%20Vicente%2C%20Granada.jpg,http://www.wikidata.org/entity/Q6581097,masculin,1898-06-05T00:00:00Z
http://www.wikidata.org/entity/Q41449,Michael Shannon,http://commons.wikimedia.org/wiki/Special:FilePath/TIFF%202017%20Michael%20Shannon%20%2837010704751%29%20%28cropped%29.jpg,http://www.wikidata.org/entity/Q6581097,masculin,1974-08-07T00:00:00Z
http://www.wikidata.org/entity/Q41594,Christina Aguilera,http://commons.wikimedia.org/wiki/Special:FilePath/Liberation%20Tour%20%2831108487277%29%20%28cropped%29.jpg,http://www.wikidata.org/entity/Q6581072,féminin,1980-12-18T00:00:00Z
http://www.wikidata.org/entity/Q42775,Johnny Cash,http://commons.wikimedia.org/wiki/Special:FilePath/Johnny%20Cash%20%281964%29.png,http://www.wikidata.org/entity/Q6581097,masculin,1932-02-26T00:00:00Z
http://www.wikidata.org/entity/Q42775,Johnny Cash,http://commons.wikimedia.org/wiki/Special:FilePath/JohnnyCash1969.jpg,http://www.wikidata.org/entity/Q6581097,masculin,1932-02-26T00:00:00Z
http://www.wikidata.org/entity/Q43189,Juanes,http://commons.wikimedia.org/wiki/Special:FilePath/Juanes%202008.06.25%20002.jpg,http://www.wikidata.org/entity/Q6581097,masculin,1972-08-09T00:00:00Z
http://www.wikidata.org/entity/Q43189,Juanes,http://commons.wikimedia.org/wiki/Special:FilePath/Juanes%20en%20New%20Orleans.JPG,http://www.wikidata.org/entity/Q6581097,masculin,1972-08-09T00:00:00Z
http://www.wikidata.org/entity/Q43416,Keanu Reeves,http://commons.wikimedia.org/wiki/Special:FilePath/Reuni%C3%A3o%20com%20o%20ator%20norte-americano%20Keanu%20Reeves%20%2846806576944%29%20%28cropped%29.jpg,http://www.wikidata.org/entity/Q6581097,masculin,1964-09-02T00:00:00Z
http://www.wikidata.org/entity/Q43566,Adrian Schinoff,http://commons.wikimedia.org/wiki/Special:FilePath/160202%20PERFIL%20ADRIAN%20SCHINOFF.jpg,http://www.wikidata.org/entity/Q6581097,masculin,1972-01-07T00:00:00Z
http://www.wikidata.org/entity/Q43770,Karl Merkatz,http://commons.wikimedia.org/wiki/Special:FilePath/%C3%96sterreichischer%20Filmpreis%202013%20B%20Karl%20Merkatz%201.jpg,http://www.wikidata.org/entity/Q6581097,masculin,1930-11-17T00:00:00Z
http://www.wikidata.org/entity/Q43858,Gusztáv Oláh,http://commons.wikimedia.org/wiki/Special:FilePath/Ol%C3%A1h%20Guszt%C3%A1v.jpg,http://www.wikidata.org/entity/Q6581097,masculin,1901-08-20T00:00:00Z
http://www.wikidata.org/entity/Q43864,Joesi Prokopetz,http://commons.wikimedia.org/wiki/Special:FilePath/Joesi%20Prokopetz%20with%20Wolfgang%20Ambros%202012.jpg,http://www.wikidata.org/entity/Q6581097,masculin,1952-01-01T00:00:00Z
http://www.wikidata.org/entity/Q43864,Joesi Prokopetz,http://commons.wikimedia.org/wiki/Special:FilePath/Joesi%20Prokopetz%20with%20Wolfgang%20Ambros%202012.jpg,http://www.wikidata.org/entity/Q6581097,masculin,1952-03-13T00:00:00Z
http://www.wikidata.org/entity/Q43879,Wilhelm Gottfried „Willy“ Astor,http://commons.wikimedia.org/wiki/Special:FilePath/Willy%20Astor%206102.jpg,http://www.wikidata.org/entity/Q6581097,masculin,1961-09-06T00:00:00Z
http://www.wikidata.org/entity/Q44086,Carl Orff,http://commons.wikimedia.org/wiki/Special:FilePath/Carl%20Orff%20um%201970.jpg,http://www.wikidata.org/entity/Q6581097,masculin,1895-07-10T00:00:00Z
